[06:27:56 INFO] [dc05e704] Multi-Company Accounting System server started successfully
[06:27:58 INFO] [5865ae92] GET /
[06:28:24 INFO] [d36e43bf] GET /src/pages/invoice-form.tsx
[06:28:24 INFO] [e2c26699] GET /src/pages/sales-order-payment-form.tsx
[06:28:24 INFO] [5ff86e18] GET /src/pages/create-invoice-from-sales-order.tsx
[06:28:41 INFO] [bd614a10] Multi-Company Accounting System server started successfully
[06:28:43 INFO] [8fefd30a] GET /
[06:28:45 INFO] [29f16ab2] GET /@vite/client
[06:28:51 INFO] [5d2a6e2b] Multi-Company Accounting System server started successfully
[06:28:52 INFO] [27cd678b] GET /
[06:28:53 INFO] [4a7ecdb7] GET /@vite/client
[06:28:58 INFO] [bfaec346] GET /src/main.tsx?v=4rwqtbATnUZigjrQ_gS4o
[06:28:59 INFO] [09899331] GET /@react-refresh
[06:28:59 INFO] [ccc10cee] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=dbe7aaf2
[06:29:00 INFO] [b63058e4] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react-dom_client.js?v=dbe7aaf2
[06:29:00 INFO] [47c7e3f7] GET /src/App.tsx?v=4rwqtbATnUZigjrQ_gS4o
[06:29:00 INFO] [82e708c9] GET /src/index.css?v=4rwqtbATnUZigjrQ_gS4o
[06:29:00 INFO] [be394267] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@tanstack_react-query.js?v=dbe7aaf2
[06:29:00 INFO] [e43dacba] GET /src/lib/queryClient.ts?v=4rwqtbATnUZigjrQ_gS4o
[06:29:01 INFO] [40cdab73] GET /src/components/ui/toaster.tsx
[06:29:01 INFO] [8c1f5409] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs
[06:29:01 INFO] [79c397ce] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-QCHXOAYK.js?v=dbe7aaf2
[06:29:01 INFO] [59d07ef7] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-WOOG5QLI.js?v=dbe7aaf2
[06:29:01 INFO] [291e2c0e] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-RPCDYKBN.js?v=dbe7aaf2
[06:29:01 INFO] [9db0caee] GET /@fs/home/runner/workspace/node_modules/.vite/deps/wouter.js?v=dbe7aaf2
[06:29:02 INFO] [25304137] GET /src/hooks/use-auth.tsx
[06:29:02 INFO] [95370c71] GET /src/hooks/use-tenant.tsx
[06:29:02 INFO] [4fdf1590] GET /src/hooks/use-company.tsx
[06:29:02 INFO] [5e6b23c1] GET /src/components/layout.tsx
[06:29:02 INFO] [5b71e8a7] GET /src/pages/dashboard.tsx
[06:29:02 INFO] [51e1064d] GET /src/pages/chart-of-accounts.tsx
[06:29:03 INFO] [2e6c4dbc] GET /src/pages/gas-accounts.tsx
[06:29:03 INFO] [a1f62635] GET /src/pages/auth-page.tsx
[06:29:03 INFO] [9b22875c] GET /src/pages/companies.tsx
[06:29:03 INFO] [ada2ece9] GET /src/pages/simple-company-create.tsx
[06:29:03 INFO] [57a98880] GET /src/pages/direct-company-form.tsx
[06:29:03 INFO] [a5204227] GET /src/pages/complete-company-form.tsx
[06:29:03 INFO] [cd9bd8de] GET /src/pages/basic-company-form.tsx
[06:29:03 INFO] [ec0081bd] GET /src/pages/emergency-company.tsx
[06:29:04 INFO] [930ba5d1] GET /src/pages/distributor-company-form.tsx
[06:29:04 INFO] [f4a614e9] GET /src/pages/users.tsx
[06:29:04 INFO] [d43f6040] GET /src/pages/intercompany-transactions.tsx
[06:29:04 INFO] [f542717b] GET /src/pages/intercompany-order-form.tsx
[06:29:04 INFO] [97dc7a59] GET /src/pages/existing-order-transaction-form.tsx
[06:29:04 INFO] [23da627f] GET /src/pages/intercompany-invoice-form.tsx
[06:29:05 INFO] [a20f2f7d] GET /src/pages/intercompany-invoice-debug/index.tsx
[06:29:05 INFO] [4e73d435] GET /src/pages/invoice-item-debug.tsx
[06:29:05 INFO] [501de6bb] GET /src/pages/intercompany-payment-form.tsx
[06:29:05 INFO] [c40cf838] GET /src/pages/intercompany-receipt-form.tsx
[06:29:05 INFO] [28be1845] GET /src/pages/intercompany-receipt-eligible-transactions.tsx
[06:29:05 INFO] [eb47f1d5] GET /src/pages/intercompany-delivery-note-form.tsx
[06:29:06 INFO] [ecd11a18] GET /src/pages/intercompany-goods-receipt-form.tsx
[06:29:06 INFO] [152123ec] GET /src/pages/test-intercompany-workflow.tsx
[06:29:06 INFO] [2a2fd2f1] GET /src/pages/test-complete-workflow.tsx
[06:29:06 INFO] [1e0c4c58] GET /src/pages/quick-product-create.tsx
[06:29:06 INFO] [d4dccf8b] GET /src/pages/products-dashboard.tsx
[06:29:06 INFO] [84cccce7] GET /src/pages/company-products.tsx
[06:29:06 INFO] [25ef75e1] GET /src/pages/banking.tsx
[06:29:07 INFO] [79bec2ae] GET /src/pages/sales-orders.tsx
[06:29:07 INFO] [fe6cbeb2] GET /src/pages/purchase-orders.tsx
[06:29:07 INFO] [ea289a7a] GET /src/pages/invoices.tsx
[06:29:07 INFO] [0525054c] GET /src/pages/invoice-form.tsx
[06:29:07 INFO] [bfe26c76] GET /src/pages/create-invoice-from-sales-order.tsx
[06:29:07 INFO] [739aeb9c] GET /src/pages/sales-order-payment-form.tsx
[06:29:07 INFO] [264fdf94] GET /src/pages/delivery-notes.tsx
[06:29:08 INFO] [f899562c] GET /src/pages/credit-notes.tsx
[06:29:08 INFO] [991eb8da] GET /src/pages/debit-notes.tsx
[06:29:08 INFO] [59fc0a05] GET /src/pages/payment-terms.tsx
[06:29:08 INFO] [1deace8d] GET /src/pages/journal-entries.tsx
[06:29:08 INFO] [45331bbb] GET /src/pages/financial-reports-fixed.tsx
[09:17:44 INFO] [671c6b26] Multi-Company Accounting System server started successfully
[09:17:46 INFO] [ea35133c] GET /
[09:17:46 INFO] [6168e651] GET /@vite/client
[09:17:47 INFO] [1ffa0761] GET /src/main.tsx?v=Xux7Kj5ekJMBEqsumqZJl
[09:17:51 INFO] [11c4ee9c] GET /@react-refresh
[09:17:51 INFO] [64862a73] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=dbe7aaf2
[09:17:51 INFO] [99e223e2] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react-dom_client.js?v=dbe7aaf2
[09:17:51 INFO] [bc9d6a00] GET /src/index.css?v=Xux7Kj5ekJMBEqsumqZJl
[09:17:51 INFO] [3ebdd224] GET /src/App.tsx?v=Xux7Kj5ekJMBEqsumqZJl
[09:17:52 INFO] [10879ce6] GET /src/lib/queryClient.ts?v=Xux7Kj5ekJMBEqsumqZJl
[09:17:52 INFO] [6971d609] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@tanstack_react-query.js?v=dbe7aaf2
[09:17:52 INFO] [ddac505b] GET /src/components/ui/toaster.tsx
[09:17:52 INFO] [37d42fce] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs
[09:17:52 INFO] [880f277e] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-RPCDYKBN.js?v=dbe7aaf2
[09:17:53 INFO] [68f76cad] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-QCHXOAYK.js?v=dbe7aaf2
[09:17:53 INFO] [685116e5] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-WOOG5QLI.js?v=dbe7aaf2
[09:17:53 INFO] [6bbf9ea2] GET /@fs/home/runner/workspace/node_modules/.vite/deps/wouter.js?v=dbe7aaf2
[09:17:53 INFO] [908109fc] GET /src/hooks/use-auth.tsx
[09:17:53 INFO] [3b25bff3] GET /src/hooks/use-tenant.tsx
[09:17:53 INFO] [59ff028b] GET /src/hooks/use-company.tsx
[09:17:53 INFO] [98860d73] GET /src/components/layout.tsx
[09:17:53 INFO] [fe1669bd] GET /src/pages/dashboard.tsx
[09:17:53 INFO] [616cfd3b] GET /src/pages/chart-of-accounts.tsx
[09:17:53 INFO] [b73f8b95] GET /src/pages/gas-accounts.tsx
[09:17:53 INFO] [5a152663] GET /src/pages/auth-page.tsx
[09:17:53 INFO] [1893c6d0] GET /src/pages/companies.tsx
[09:17:53 INFO] [84b225a0] GET /src/pages/simple-company-create.tsx
[09:17:53 INFO] [c8d2e21e] GET /src/pages/direct-company-form.tsx
[09:17:53 INFO] [c7b33f0d] GET /src/pages/complete-company-form.tsx
[09:17:53 INFO] [c510d9b7] GET /src/pages/basic-company-form.tsx
[09:17:54 INFO] [4373664e] GET /src/pages/emergency-company.tsx
[09:17:54 INFO] [3dab39f3] GET /src/pages/distributor-company-form.tsx
[09:17:54 INFO] [72c249a1] GET /src/pages/delivery-notes.tsx
[09:17:54 INFO] [8b4c6e3f] GET /src/pages/credit-notes.tsx
[09:17:54 INFO] [f53c0b1f] GET /src/pages/debit-notes.tsx
[09:17:54 INFO] [48ca390f] GET /src/pages/payment-terms.tsx
[09:17:54 INFO] [5e2051c2] GET /src/pages/journal-entries.tsx
[09:17:54 INFO] [efa8aa41] GET /src/pages/financial-reports-fixed.tsx
[09:17:54 INFO] [f9d8ecb7] GET /src/pages/bills.tsx
[09:17:54 INFO] [8a542f06] GET /src/pages/tax-calculator.tsx
[09:17:54 INFO] [d815bf06] GET /src/pages/intercompany-transactions.tsx
[09:17:54 INFO] [5333582b] GET /src/pages/not-found.tsx
[09:17:54 INFO] [a239cf1c] GET /src/components/protected-route.tsx
[09:17:54 INFO] [e25c3c69] GET /src/pages/intercompany-order-form.tsx
[09:17:54 INFO] [0f3ba1b5] GET /src/pages/users.tsx
[09:17:54 INFO] [accf925d] GET /src/pages/existing-order-transaction-form.tsx
[09:17:54 INFO] [9cece687] GET /src/pages/intercompany-invoice-form.tsx
[09:17:54 INFO] [b45427ef] GET /src/pages/invoice-item-debug.tsx
[09:17:54 INFO] [b249580b] GET /src/pages/intercompany-invoice-debug/index.tsx
[09:17:54 INFO] [094be9f8] GET /src/pages/intercompany-receipt-eligible-transactions.tsx
[09:17:55 INFO] [a3a360bd] GET /src/pages/intercompany-payment-form.tsx
[09:17:55 INFO] [04170342] GET /src/pages/intercompany-receipt-form.tsx
[09:17:55 INFO] [8d83d7f8] GET /src/pages/intercompany-delivery-note-form.tsx
[09:17:55 INFO] [caf2b6ac] GET /src/pages/intercompany-goods-receipt-form.tsx
[09:17:55 INFO] [df2bd7b0] GET /src/pages/test-intercompany-workflow.tsx
[09:17:55 INFO] [470f6545] GET /src/pages/quick-product-create.tsx
[09:17:55 INFO] [bcab8625] GET /src/pages/banking.tsx
[09:17:55 INFO] [1f184650] GET /src/pages/sales-orders.tsx
[09:17:55 INFO] [a2aa7118] GET /src/pages/company-products.tsx
[09:17:55 INFO] [917bbfeb] GET /src/pages/purchase-orders.tsx
[09:17:55 INFO] [e5cdbd6b] GET /src/pages/products-dashboard.tsx
[09:17:55 INFO] [60877fec] GET /src/pages/create-invoice-from-sales-order.tsx
[09:17:55 INFO] [58c41f38] GET /src/pages/sales-order-payment-form.tsx
[09:17:55 INFO] [d861372e] GET /src/pages/invoices.tsx
[09:17:55 INFO] [f6432303] GET /src/pages/invoice-form.tsx
[09:17:55 INFO] [6383f42e] GET /src/pages/test-complete-workflow.tsx
[09:17:55 INFO] [0c2a7994] GET /src/hooks/use-toast.ts
[09:17:55 INFO] [520c4805] GET /src/components/ui/toast.tsx
[09:17:55 INFO] [306f3a99] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-KBTYAULA.js?v=dbe7aaf2
[09:17:55 INFO] [dc17982c] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react.js?v=dbe7aaf2
[09:17:55 INFO] [d934dd19] GET /src/lib/queryClient.ts
[09:17:55 INFO] [02c4e9c2] GET /src/components/sidebar.tsx
[09:17:56 INFO] [e276d12e] GET /src/components/header.tsx
[09:17:56 INFO] [493e49ca] GET /src/hooks/use-mobile.tsx
[09:17:56 INFO] [884954a7] GET /src/components/ui/card.tsx
[09:17:56 INFO] [6f0dd3f3] GET /src/components/ui/button.tsx
[09:17:56 INFO] [72458608] GET /src/components/dashboard/stats-card.tsx
[09:17:56 INFO] [0ea992d3] GET /src/components/dashboard/recent-transactions.tsx
[09:17:56 INFO] [2c08a319] GET /src/components/dashboard/cash-flow.tsx
[09:17:56 INFO] [974fedfc] GET /src/components/dashboard/profit-loss.tsx
[09:17:56 INFO] [954a4a13] GET /src/components/dashboard/pending-actions.tsx
[09:17:56 INFO] [e44e62ca] GET /src/components/dashboard/quick-actions.tsx
[09:17:56 INFO] [3bf42a6c] GET /src/components/dashboard/sales-orders-summary.tsx
[09:17:56 INFO] [c67a6200] GET /src/components/dashboard/invoice-receipt-summary.tsx
[09:17:56 INFO] [de3358e4] GET /src/components/dashboard/company-balances.tsx
[09:17:56 INFO] [64ae05df] GET /src/components/dashboard/tenant-summary.tsx
[09:17:56 INFO] [3f8289f1] GET /src/components/dashboard/intercompany-balances.tsx
[09:17:56 INFO] [01751216] GET /src/components/debug-dashboard.tsx
[09:17:56 INFO] [d8f6a246] GET /@fs/home/runner/workspace/node_modules/.vite/deps/lucide-react.js?v=dbe7aaf2
[09:17:56 INFO] [386d0e3f] GET /src/components/ui/input.tsx
[09:17:56 INFO] [197dc7f4] GET /src/components/ui/select.tsx
[09:17:56 INFO] [432aee52] GET /src/components/ui/table.tsx
[09:17:56 INFO] [7983b365] GET /src/components/ui/tabs.tsx
[09:17:57 INFO] [cfd1f013] GET /src/components/coa/coa-tree.tsx
[09:17:57 INFO] [29247f54] GET /src/components/coa/account-modal.tsx
[09:17:57 INFO] [2dfc1882] GET /src/components/coa/account-orders-display.tsx
[09:17:57 INFO] [cb2ab335] GET /src/lib/utils.ts
[09:17:57 INFO] [0d8cb63b] GET /src/components/ui/label.tsx
[09:17:57 INFO] [3cf0d4b3] GET /src/components/ui/badge.tsx
[09:17:57 INFO] [4f524fed] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react-hook-form.js?v=dbe7aaf2
[09:17:57 INFO] [fa0e5542] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@hookform_resolvers_zod.js?v=dbe7aaf2
[09:17:57 INFO] [6f311eab] GET /@fs/home/runner/workspace/shared/schema.ts
[09:17:57 INFO] [56d4a709] GET /src/components/ui/dialog.tsx
[09:17:57 INFO] [b1446eeb] GET /src/components/ui/alert.tsx
[09:17:57 INFO] [77cb267b] GET /@fs/home/runner/workspace/node_modules/.vite/deps/zod.js?v=dbe7aaf2
[09:17:57 INFO] [1ff95ed2] GET /src/components/ui/form.tsx
[09:17:57 INFO] [ea409d3b] GET /src/components/ui/skeleton.tsx
[09:17:57 INFO] [0f4fa0d5] GET /src/components/ui/dropdown-menu.tsx
[09:17:57 INFO] [0df65573] GET /src/components/ui/textarea.tsx
[09:17:57 INFO] [60c59ea3] GET /src/components/ui/pagination.tsx
[09:17:57 INFO] [c3a83f54] GET /src/components/ui/calendar.tsx
[09:17:57 INFO] [a6537215] GET /src/components/ui/popover.tsx
[09:17:57 INFO] [4f336b1f] GET /src/components/ui/separator.tsx
[09:17:57 INFO] [3c379ea4] GET /@fs/home/runner/workspace/node_modules/.vite/deps/date-fns.js?v=dbe7aaf2
[09:17:58 INFO] [0a0eb1b1] GET /src/hooks/use-intercompany.tsx
[09:17:58 INFO] [e4fc3f21] GET /src/lib/intercompany-connector.ts
[09:17:58 INFO] [384db6b6] GET /src/components/intercompany/order-status-info.tsx
[09:17:58 INFO] [36292b74] GET /src/components/intercompany/partial-invoice-controls.tsx
[09:17:58 INFO] [b778a610] GET /src/components/ui/scroll-area.tsx
[09:17:58 INFO] [afb0a825] GET /src/components/ui/switch.tsx
[09:17:58 INFO] [112c643d] GET /src/components/ui/checkbox.tsx
[09:17:58 INFO] [032addd8] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react-helmet-async.js?v=dbe7aaf2
[09:17:58 INFO] [31692e7e] GET /src/components/intercompany/test-partial-invoice-flow.tsx
[09:17:58 INFO] [86aa77d4] GET /src/components/product-selection.tsx
[09:17:58 INFO] [6b585efe] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-toast.js?v=dbe7aaf2
[09:17:58 INFO] [ae5f3858] GET /@fs/home/runner/workspace/node_modules/.vite/deps/class-variance-authority.js?v=dbe7aaf2
[09:17:58 INFO] [4d2d0bb5] GET /src/components/ui/avatar.tsx
[09:17:58 INFO] [8c5bd837] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-slot.js?v=dbe7aaf2
[09:17:58 INFO] [72a1cc36] GET /@fs/home/runner/workspace/node_modules/.vite/deps/recharts.js?v=dbe7aaf2
[09:17:58 INFO] [ee997efd] GET /src/components/ui/tooltip.tsx
[09:17:58 INFO] [05c46b8d] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-select.js?v=dbe7aaf2
[09:17:58 INFO] [489990b8] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-tabs.js?v=dbe7aaf2
[09:17:58 INFO] [b9636e53] GET /@fs/home/runner/workspace/node_modules/.vite/deps/clsx.js?v=dbe7aaf2
[09:17:58 INFO] [23187e02] GET /@fs/home/runner/workspace/node_modules/.vite/deps/tailwind-merge.js?v=dbe7aaf2
[09:17:58 INFO] [1599ac49] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-4BFJKWC4.js?v=dbe7aaf2
[09:17:58 INFO] [724f47b9] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-label.js?v=dbe7aaf2
[09:17:59 INFO] [1c8bc511] GET /@fs/home/runner/workspace/node_modules/.vite/deps/drizzle-orm_pg-core.js?v=dbe7aaf2
[09:17:59 INFO] [f6c8c551] GET /@fs/home/runner/workspace/node_modules/.vite/deps/drizzle-zod.js?v=dbe7aaf2
[09:17:59 INFO] [337d6025] GET /@fs/home/runner/workspace/node_modules/.vite/deps/drizzle-orm.js?v=dbe7aaf2
[09:17:59 INFO] [88f9040f] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-dialog.js?v=dbe7aaf2
[09:17:59 INFO] [24805b87] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-WGQNECLP.js?v=dbe7aaf2
[09:17:59 INFO] [0e571b2f] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-dropdown-menu.js?v=dbe7aaf2
[09:17:59 INFO] [1a74eda7] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-popover.js?v=dbe7aaf2
[09:17:59 INFO] [62ecff08] GET /@fs/home/runner/workspace/node_modules/.vite/deps/react-day-picker.js?v=dbe7aaf2
[09:17:59 INFO] [bb24d539] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-separator.js?v=dbe7aaf2
[09:17:59 INFO] [16149629] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-6PJ6ZD5Z.js?v=dbe7aaf2
[09:17:59 INFO] [9aba4b28] GET /src/components/intercompany/create-invoice-button.tsx
[09:17:59 INFO] [f551abc0] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-scroll-area.js?v=dbe7aaf2
[09:17:59 INFO] [fa8a5c3d] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-switch.js?v=dbe7aaf2
[09:17:59 INFO] [40c3914b] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-checkbox.js?v=dbe7aaf2
[09:17:59 INFO] [b05f3dde] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-UPVX7IVH.js?v=dbe7aaf2
[09:17:59 INFO] [cbc6bffa] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-I6MJRFJY.js?v=dbe7aaf2
[09:17:59 INFO] [6b1b7cb9] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-S2ZUYA2N.js?v=dbe7aaf2
[09:17:59 INFO] [8eeaf0b7] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-WIIJQEXM.js?v=dbe7aaf2
[09:17:59 INFO] [86f2e0ac] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-B5ZPYGAZ.js?v=dbe7aaf2
[09:17:59 INFO] [88b3e743] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-5Q5YC75F.js?v=dbe7aaf2
[09:17:59 INFO] [9567bbfb] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-5AJU3CG7.js?v=dbe7aaf2
[09:17:59 INFO] [c0ba4c37] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-AXMZZQ2X.js?v=dbe7aaf2
[09:18:00 INFO] [cb6b6fbe] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-2K77HOHX.js?v=dbe7aaf2
[09:18:00 INFO] [e4cc033b] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-U7P2NEEE.js?v=dbe7aaf2
[09:18:00 INFO] [6ad5d2ab] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-avatar.js?v=dbe7aaf2
[09:18:00 INFO] [d05fa1ce] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@radix-ui_react-tooltip.js?v=dbe7aaf2
[09:18:00 INFO] [51d8fb5d] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-ZL4O2VWE.js?v=dbe7aaf2
[09:18:00 INFO] [b9588550] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-6ZMM2PAV.js?v=dbe7aaf2
[09:18:00 INFO] [962427dc] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-4RO2SXZU.js?v=dbe7aaf2
[09:18:00 INFO] [ef567f66] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-26AQ2U4J.js?v=dbe7aaf2
[09:18:00 INFO] [3fd4f40b] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-43G6IMPT.js?v=dbe7aaf2
[09:18:00 INFO] [27116e9d] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-UDJZONCO.js?v=dbe7aaf2
[09:18:00 INFO] [332e834d] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-OLWLIEH3.js?v=dbe7aaf2
[09:18:00 INFO] [bdc20d80] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-QPMNBGIX.js?v=dbe7aaf2
[09:18:00 INFO] [e759a4d5] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-ERRIPRYY.js?v=dbe7aaf2
[09:18:00 INFO] [8196ed3e] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-BK4DKXM4.js?v=dbe7aaf2
